tokens	predicted	tags
masa	O	O
depan	O	O
banyak	O	O
detail	O	O
detail	O	O
kecil	O	O
yang	O	O
terjadi	O	O
di	O	O
belakang	O	O
yang	O	O
biasanya	O	O
terabaikan	O	O
tapi	O	O
ternyata	O	O
detail	O	O
detail	O	O
tersebut	O	O
adalah	O	O
sesuatu	O	O
yang	O	O
secara	O	O
subtle	O	O
bakal	O	O
terungkap	O	O
siap	O	O
siap	O	O
aja	O	O
ketemu	O	O
oalahhh	O	O
moment	O	O
subtle	O	O
is	O	O
key	O	O
namun	O	O
selain	O	O
ketawa	O	O
siap	O	O
siap	O	O
sama	O	O
beberapa	O	O
adegan	O	O
yang	O	O
bikin	O	O
ga	O	O
nyaman	O	O
dan	O	O
bikin	O	O
frustasi	O	O
ga	O	O
heran	O	O
di	O	O
luar	O	O
negeri	O	O
film	O	O
ini	O	O
dapat	O	O
rating	O	O
r	O	O
dewasa	O	O
jika	O	O
ditelaah	O	O
lebih	O	O
dalam	O	O
film	O	O
ini	O	O
emang	O	O
cukup	O	O
dark	O	O
musik	O	O
menjadi	O	O
poin	O	O
yang	O	O
selalu	O	O
ditunggu	O	O
di	O	O
pelem	O	O
pelem	O	O
disney	B-STUD	B-STUD
lagu	O	O
lagu	O	O
yang	O	O
dibikin	O	O
untuk	O	O
film	O	O
ini	O	O
sebut	O	O
aja	O	O
this	O	O
wish	O	O
this	O	O
is	O	O
the	O	O
thanks	O	O
i	O	O
get	O	O
atau	O	O
knowing	O	O
what	O	O
i	O	O
know	O	O
now	O	O
bener	O	O
bener	O	O
klop	O	O
sama	O	O
ceritanya	O	O
ditambah	O	O
dengan	O	O
visualisasi	O	O
yang	O	O
mezmerizing	O	O
meski	O	O
kami	O	O
ngerasa	O	O
harusnya	O	O
revenge	O	O
nya	O	O
si	O	O
black	B-MVT	B-CHAR
manta	I-CHAR	I-CHAR
ini	O	O
punya	O	O
potensi	O	O
lebih	O	O
kerasa	O	O
grande	O	O
tapi	O	O
action	O	O
battle	O	O
nya	O	O
lawan	O	O
aquaman	B-MVT	B-MVT
tetep	O	O
keren	O	O
banget	O	O
segala	O	O
macem	O	O
shot	O	O
dan	O	O
camera	O	O
works	O	O
nya	O	O
mantep	O	O
didukung	O	O
dengan	O	O
lagu	O	O
yang	O	O
asik	O	O
bikin	O	O
battle	O	O
scenenya	O	O
semakin	O	O
mompa	O	O
adrenalin	O	O
satu	O	O
lagi	O	O
yang	O	O
mungkin	O	O
cukup	O	O
bikin	O	O
kami	O	O
terganggu	O	O
adalah	O	O
bumbu	O	O
romansa	B-GEN	B-GEN
antara	O	O
rendi	B-CHAR	B-CHAR
dan	O	O
dira	B-CHAR	B-CHAR
yang	O	O
nggak	O	O
banget	O	O
secara	O	O
chemistry	O	O
nol	O	O
secara	O	O
jalan	O	O
cerita	O	O
pun	O	O
maksa	O	O
keliatan	O	O
supaya	O	O
ada	O	O
oh	O	O
ada	O	O
cinta	O	O
cintaannya	O	O
bukan	O	O
chemistry	O	O
adanya	O	O
malah	O	O
cringemistry	O	O
oke	O	O
berikut	O	O
review	O	O
kami	O	O
untuk	O	O
wonka	B-MVT	B-MVT
2023	B-YEAR	B-YEAR
wmidreview	O	O
dari	O	O
judulnya	O	O
aja	O	O
kami	O	O
sudah	O	O
berekspektasi	O	O
film	O	O
ini	O	O
bakalan	O	O
menyajikan	O	O
aksi	O	O
teror	O	O
kejar	O	O
kejaran	O	O
yang	O	O
sangat	O	O
brutal	O	O
dan	O	O
berdarah	O	O
darah	O	O
yah	O	O
pokoknya	O	O
bakal	O	O
jahanam	O	O
banget	O	O
sih	O	O
filmnya	O	O
tone	O	O
film	O	O
nya	O	O
ga	O	O
se	O	O
kuning	O	O
film	O	O
falcon	B-GEN	B-STUD
lainnya	O	O
set	O	O
design	O	O
nya	O	O
rapih	O	O
tapi	O	O
at	O	O
some	O	O
point	O	O
terlalu	O	O
rapih	O	O
sehingga	O	O
kelihatan	O	O
kurang	O	O
natural	O	O
dan	O	O
terasa	O	O
fabrikasinya	O	O
seperti	O	O
setting	O	O
di	O	O
rumah	O	O
maupun	O	O
di	O	O
kantor	O	O
trinil	B-MVT	B-MVT
kembalikan	I-MVT	I-MVT
tubuhku	I-MVT	I-MVT
2024	B-YEAR	B-YEAR
rating	O	O
maumu	O	O
apa	O	O
setan	O	O
10	O	O
soundtrack	O	O
film	O	O
ini	O	O
diisi	O	O
oleh	O	O
official	O	O
hige	B-CHAR	O
dandism	I-CHAR	O
dengan	O	O
judul	O	O
soulsoup	B-MVT	O
dan	O	O
gen	B-ACT	O
hoshino	I-ACT	O
dengan	O	O
judul	O	O
hikari	B-MVT	O
no	I-MVT	O
ato	O	O
sepanjang	O	O
end	O	O
credit	O	O
kita	O	O
bakal	O	O
ditemenin	O	O
2	O	O
lagu	O	O
itu	O	O
dan	O	O
bakal	O	O
ada	O	O
anya	B-CHAR	B-CHAR
dengan	O	O
animasi	O	O
sederhana	O	O
ikut	O	O
nemenin	O	O
juga	O	O
alienoid	B-MVT	B-MVT
return	I-MVT	I-MVT
to	I-MVT	I-MVT
the	I-MVT	I-MVT
future	I-MVT	I-MVT
2024	B-YEAR	B-YEAR
rating	O	O
taksiiii	O	O
10	O	O
ada	O	O
rasa	O	O
lho	O	O
gini	O	O
aja	O	O
endingnya	O	O
saat	O	O
credit	O	O
roll	O	O
akhirnya	O	O
bergulir	O	O
di	O	O
akhir	O	O
film	O	O
sebuah	O	O
cara	O	O
yang	O	O
menurut	O	O
kami	O	O
sangat	O	O
tepat	O	O
untuk	O	O
mengakhiri	O	O
rangkaian	O	O
kisah	O	O
di	O	O
dalam	O	O
filmnya	O	O
rasa	O	O
bengong	O	O
dan	O	O
feel	O	O
kosong	O	O
itu	O	O
yang	O	O
harus	O	O
siap	O	O
dihadapi	O	O
sebagian	O	O
besar	O	O
penontonnya	O	O
namun	O	O
bagi	O	O
yang	O	O
belum	O	O
pernah	O	O
mengikuti	O	O
serial	O	O
the	B-MVT	B-MVT
hunger	I-MVT	I-MVT
games	I-MVT	I-MVT
mungkin	O	O
bakal	O	O
ngerasa	O	O
kepanjangan	O	O
karena	O	O
klimaks	O	O
hanya	O	O
sampai	O	O
2	O	O
3	O	O
film	O	O
sedangkan	O	O
endingnya	O	O
lebih	O	O
ke	O	O
character	O	O
driven	O	O
storyline	O	O
kereta	B-MVT	B-MVT
berdarah	I-MVT	I-MVT
sebenarnya	O	O
membawa	O	O
pesan	O	O
moral	O	O
yang	O	O
penting	O	O
buat	O	O
kehidupan	O	O
kita	O	O
dan	O	O
berhasil	O	O
menyampaikannya	O	O
dengan	O	O
cara	O	O
yang	O	O
bikin	O	O
greget	O	O
dan	O	O
gemes	O	O
kendalanya	O	O
ya	O	O
cuma	O	O
naskahnya	O	O
yang	O	O
bikin	O	O
jalan	O	O
ceritanya	O	O
b	O	O
aja	O	O
yang	O	O
bikin	O	O
antusias	O	O
menurun	O	O
di	O	O
beberapa	O	O
bagian	O	O
filmnya	O	O
ancika	B-MVT	B-MVT
dia	I-MVT	I-MVT
yang	I-MVT	I-MVT
bersamaku	I-MVT	I-MVT
1995	I-MVT	I-MVT
2024	B-YEAR	B-YEAR
rating	O	O
bajingan	O	O
10	O	O
urusan	O	O
akting	O	O
3	O	O
karakter	O	O
utamanya	O	O
mampu	O	O
menunjukkan	O	O
show	O	O
don	O	O
t	O	O
tell	O	O
lewat	O	O
performa	O	O
akting	O	O
yang	O	O
ciamik	O	O
kita	O	O
bisa	O	O
lihat	O	O
dan	O	O
percaya	O	O
nora	B-CHAR	B-CHAR
dan	O	O
hae	B-ACT	B-CHAR
sung	I-ACT	I-CHAR
saling	O	O
suka	O	O
kita	O	O
juga	O	O
bisa	O	O
lihat	O	O
dan	O	O
percaya	O	O
arthur	B-CHAR	B-CHAR
canggung	O	O
berada	O	O
di	O	O
antara	O	O
mereka	O	O
tanpa	O	O
banyak	O	O
dialog	O	O
menyertainya	O	O
karakter	O	O
asha	B-CHAR	B-CHAR
sendiri	O	O
terasa	O	O
masih	O	O
50	O	O
50	O	O
buat	O	O
menjadi	O	O
karakter	O	O
yang	O	O
memiliki	O	O
ciri	O	O
khas	O	O
yang	O	O
kuat	O	O
layaknya	O	O
disney	B-STUD	B-STUD
female	I-STUD	O
character	O	O
lainnya	O	O
untung	O	O
lah	O	O
ada	O	O
temen	O	O
temennya	O	O
yg	O	O
hadir	O	O
dengan	O	O
celetukan	O	O
yang	O	O
cukup	O	O
memberi	O	O
warna	O	O
terlihat	O	O
cukup	O	O
ada	O	O
perbedaan	O	O
yang	O	O
nyata	O	O
antara	O	O
versi	O	O
depp	B-LOC	B-CHAR
amp	O	O
chalamet	B-CHAR	B-CHAR
jujur	O	O
saja	O	O
meskipun	O	O
timoth	B-ACT	B-ACT
e	I-ACT	I-ACT
chalamet	I-ACT	I-ACT
mampu	O	O
membawakan	O	O
nuansa	O	O
magical	O	O
musikal	O	O
tapi	O	O
terasa	O	O
kurang	O	O
nyentrik	O	O
aja	O	O
gitu	O	O
mungkin	O	O
disini	O	O
emang	O	O
belum	O	O
terlalu	O	O
gila	O	O
yaa	O	O
well	O	O
it	O	O
can	O	O
be	O	O
a	O	O
good	O	O
point	O	O
atau	O	O
malah	O	O
sebaliknya	O	O
disney	B-STUD	B-STUD
fans	O	O
tentu	O	O
bakal	O	O
ngerasa	O	O
terhibur	O	O
dan	O	O
membangunkan	O	O
debar	O	O
nostalgik	O	O
either	O	O
from	O	O
the	O	O
scene	O	O
or	O	O
the	O	O
dialogue	O	O
namun	O	O
buat	O	O
yang	O	O
mungkin	O	O
biasa	O	O
aja	O	O
dan	O	O
pengen	O	O
nonton	O	O
cerita	O	O
saja	O	O
kayanya	O	O
bakal	O	O
ngerasa	O	O
banyak	O	O
hal	O	O
hal	O	O
yang	O	O
cukup	O	O
masih	O	O
berkutat	O	O
dengan	O	O
permasalahan	O	O
yang	O	O
sama	O	O
family	B-MVT	O
stick	I-MVT	O
together	I-MVT	O
trolls	B-MVT	B-MVT
band	I-MVT	I-MVT
together	I-MVT	I-MVT
masih	O	O
menjadi	O	O
film	O	O
ringan	O	O
yang	O	O
bisa	O	O
dinikmati	O	O
oleh	O	O
semua	O	O
umur	O	O
bedanya	O	O
mungkin	O	O
disini	O	O
lebih	O	O
absurd	O	O
lagi	O	O
dan	O	O
lebih	O	O
banyak	O	O
bentukan	O	O
bentukan	O	O
aneh	O	O
selain	O	O
trolls	B-CHAR	B-CHAR
buat	O	O
kalian	O	O
yang	O	O
pengen	O	O
liat	O	O
review	O	O
tontonan	O	O
kami	O	O
di	O	O
sepanjang	O	O
tahun	O	O
2023	O	O
silakan	O	O
cek	O	O
thread	O	O
berikut	O	O
ini	O	O
atau	O	O
klik	O	O
gt	O	O
wmidreview	O	O
oke	O	O
berikut	O	O
review	O	O
kami	O	O
untuk	O	O
13	B-MVT	B-MVT
bom	I-MVT	I-MVT
di	I-MVT	I-MVT
jakarta	I-MVT	I-MVT
2024	B-YEAR	B-YEAR
wmidreview	O	O
pada	O	O
akhirnya	O	O
lewat	O	O
avatar	B-MVT	B-MVT
the	I-MVT	I-MVT
last	I-MVT	I-MVT
airbender	I-MVT	I-MVT
kembali	O	O
lagi	O	O
membuktikan	O	O
kalo	O	O
mereka	O	O
mampu	O	O
membuat	O	O
adaptasi	O	O
live	O	O
action	O	O
yang	O	O
asik	O	O
berbagai	O	O
penyesuaian	O	O
yang	O	O
diterapkan	O	O
terasa	O	O
acceptable	O	O
masih	O	O
bisa	O	O
ngasih	O	O
sesuatu	O	O
yang	O	O
segar	O	O
tanpa	O	O
ngilangin	O	O
vibe	O	O
nostalgia	O	O
nya	O	O
akting	O	O
para	O	O
pemainnya	O	O
pun	O	O
dirasa	O	O
kami	O	O
kureng	O	O
apalagi	O	O
harris	B-ACT	B-ACT
vriza	I-ACT	I-ACT
sebagai	O	O
pemeran	O	O
utama	O	O
yang	O	O
kami	O	O
ga	O	O
bisa	O	O
nangkep	O	O
ada	O	O
rasa	O	O
duka	O	O
yang	O	O
doi	O	O
rasain	O	O
pasca	O	O
kehilangan	O	O
yang	O	O
dialami	O	O
ya	O	O
intinya	O	O
sebel	O	O
aja	O	O
sih	O	O
dua	O	O
act	O	O
pertamanya	O	O
udah	O	O
asik	O	O
banget	O	O
lho	O	O
semua	O	O
terasa	O	O
baik	O	O
baik	O	O
aja	O	O
sampe	O	O
adegan	O	O
sok	O	O
investigasinya	O	O
ngerusak	O	O
semua	O	O
ketika	O	O
adegan	O	O
gali	O	O
kubur	O	O
itu	O	O
muncul	O	O
kami	O	O
kek	O	O
yang	O	O
yahh	O	O
penyakit	O	O
lama	O	O
dari	O	O
sisi	O	O
cerita	O	O
jujur	O	O
konflik	O	O
dari	O	O
film	O	O
ali	B-MVT	B-MVT
topan	I-MVT	I-MVT
ini	O	O
terkesan	O	O
terlalu	O	O
dipaksakan	O	O
apalagi	O	O
di	O	O
akhir	O	O
cerita	O	O
padahal	O	O
building	O	O
di	O	O
awalnya	O	O
udah	O	O
cakep	O	O
tapi	O	O
ujungnya	O	O
kerasa	O	O
banget	O	O
kaya	O	O
terlalu	O	O
maksa	O	O
dan	O	O
filmnya	O	O
bingung	O	O
mau	O	O
ending	O	O
kaya	O	O
gimana	O	O
berikutnya	O	O
lebih	O	O
ke	O	O
poin	O	O
minor	O	O
dan	O	O
ganjel	O	O
dikit	O	O
aja	O	O
ada	O	O
cast	O	O
versi	O	O
live	O	O
action	O	O
yang	O	O
punya	O	O
penampilan	O	O
fisik	O	O
berbeda	O	O
dari	O	O
versi	O	O
animasinya	O	O
jadi	O	O
pas	O	O
pertama	O	O
kali	O	O
muncul	O	O
lumayan	O	O
bikin	O	O
kaget	O	O
dan	O	O
feelnya	O	O
malah	O	O
berasa	O	O
kaya	O	O
liat	O	O
karakter	O	O
baru	O	O
oke	O	O
berikut	O	O
review	O	O
kami	O	O
untuk	O	O
avatar	B-MVT	B-MVT
the	I-MVT	I-MVT
last	I-MVT	I-MVT
airbender	I-MVT	I-MVT
2024	B-YEAR	B-YEAR
wmidreview	O	O
tapi	O	O
untuk	O	O
shot2	O	O
di	O	O
alam	O	O
pedesaannya	O	O
sih	O	O
indah	O	O
banget	O	O
terutama	O	O
shot	O	O
di	O	O
sungai	O	O
di	O	O
siang	O	O
hari	O	O
tapi	O	O
kalo	O	O
udah	O	O
shot	O	O
malem	O	O
hari	O	O
ato	O	O
di	O	O
neraka	O	O
jujur	O	O
agak	O	O
gak	O	O
keliatan	O	O
apa	O	O
apa	O	O
tinggal	O	O
gelap	O	O
in	O	O
blue	O	O
atau	O	O
gelap	O	O
in	O	O
red	O	O
ntah	O	O
ini	O	O
di	O	O
layar	O	O
bioskop	O	O
kami	O	O
nonton	O	O
doang	O	O
atau	O	O
gimana	O	O
ntahlah	O	O
cukup	O	O
seru	O	O
menikmati	O	O
perjalanan	O	O
wonka	B-CHAR	B-CHAR
untuk	O	O
mencapai	O	O
impiannya	O	O
menjadi	O	O
penjual	O	O
coklat	O	O
dihadapkan	O	O
dengan	O	O
banyak	O	O
masalah	O	O
di	O	O
sana	O	O
sini	O	O
plotnya	O	O
memang	O	O
terasa	O	O
lempeng	O	O
karena	O	O
dibuat	O	O
untuk	O	O
semua	O	O
usia	O	O
tapi	O	O
tetep	O	O
bisa	O	O
bikin	O	O
intense	O	O
aja	O	O
tapi	O	O
itu	O	O
yg	O	O
menjadikan	O	O
film	O	O
ini	O	O
enak	O	O
diikutin	O	O
budi	B-MVT	B-MVT
pekerti	I-MVT	I-MVT
menawarkan	O	O
parade	O	O
audio	O	O
visual	O	O
yang	O	O
begitu	O	O
cantik	O	O
dari	O	O
segi	O	O
teknis	O	O
begitu	O	O
well	O	O
crafted	O	O
suka	O	O
gimana	O	O
film	O	O
ini	O	O
ngasih	O	O
liat	O	O
shot	O	O
shot	O	O
pinggiran	O	O
yogyakarta	B-LOC	B-LOC
lengkap	O	O
dengan	O	O
ambience	O	O
nya	O	O
yang	O	O
terasa	O	O
hidup	O	O
jadi	O	O
ya	O	O
memang	O	O
ga	O	O
harus	O	O
harus	O	O
banget	O	O
nonton	O	O
semuanya	O	O
karena	O	O
di	O	O
film	O	O
the	B-MVT	B-MVT
marvels	I-MVT	I-MVT
ini	O	O
bakal	O	O
dikasih	O	O
liat	O	O
dan	O	O
diceritain	O	O
dikit	O	O
dikit	O	O
beberapa	O	O
hal	O	O
yang	O	O
berhubungan	O	O
terutama	O	O
buat	O	O
nge	O	O
refresh	O	O
ingatan	O	O
buat	O	O
yang	O	O
ngikutin	O	O
mcu	O	O
pemandi	B-MVT	B-MVT
jenazah	I-MVT	I-MVT
2024	B-YEAR	B-YEAR
rating	O	O
sssst	O	O
10	O	O
sejak	O	O
awal	O	O
dengan	O	O
sangat	O	O
percaya	O	O
diri	O	O
mendeklarasikan	O	O
diri	O	O
nya	O	O
sebagai	O	O
film	O	O
action	B-GEN	B-GEN
terbesar	O	O
tahun	O	O
2023	B-YEAR	B-YEAR
menit	O	O
menit	O	O
awal	O	O
langsung	O	O
disambut	O	O
dengan	O	O
adegan	O	O
meledakkan	O	O
mobil	O	O
dengan	O	O
bazzoka	B-CHAR	O
wow	O	O
sungguh	O	O
luar	O	O
biasa	O	O
sudah	O	O
sangat	O	O
action	B-GEN	B-GEN
sejak	O	O
awal	O	O
oke	O	O
berikut	O	O
review	O	O
kami	O	O
untuk	O	O
love	B-MVT	B-MVT
reset	I-MVT	I-MVT
2023	B-YEAR	B-YEAR
wmidreview	O	O
srimulat	B-MVT	B-MVT
hidup	I-MVT	I-MVT
memang	I-MVT	I-MVT
komedi	I-MVT	I-MVT
adalah	O	O
sebuah	O	O
surat	O	O
cinta	O	O
yang	O	O
manis	O	O
bagi	O	O
para	O	O
penggemar	O	O
komedi	B-GEN	B-GEN
dan	O	O
juga	O	O
penggemar	O	O
srimulat	B-MVT	B-MVT
konsepnya	O	O
fresh	O	O
banget	O	O
dengan	O	O
teknik	O	O
bercerita	O	O
yang	O	O
unik	O	O
dan	O	O
beda	O	O
sekadar	O	O
info	O	O
di	O	O
awal	O	O
kami	O	O
menonton	O	O
film	O	O
ini	O	O
di	O	O
jepang	B-LOC	B-LOC
indahnya	O	O
visual	O	O
khas	O	O
ghibli	B-STUD	B-STUD
ditambah	O	O
dunia	O	O
fantasi	B-GEN	B-GEN
di	O	O
film	O	O
ini	O	O
yang	O	O
penuh	O	O
keajaiban	O	O
membuat	O	O
film	O	O
ini	O	O
bisa	O	O
dinikmati	O	O
tanpa	O	O
beban	O	O
yang	O	O
membedakan	O	O
saat	O	O
menonton	O	O
otak	O	O
kami	O	O
terus	O	O
terpancing	O	O
untuk	O	O
mikir	O	O
ini	O	O
apa	O	O
yang	O	O
sebenernya	O	O
terjadi	O	O
mana	O	O
yang	O	O
nyata	O	O
mana	O	O
yang	O	O
fantasi	O	O
ya	O	O
jadi	O	O
buat	O	O
yang	O	O
ga	O	O
suka	O	O
sama	O	O
adegan	O	O
adegan	O	O
sadis	O	O
cem	O	O
lidah	O	O
dipotong	O	O
mata	O	O
ditusuk	O	O
kepala	O	O
dihantam	O	O
dll	O	O
dkk	O	O
ya	O	O
silakan	O	O
pikir	O	O
pikir	O	O
lagi	O	O
sebelum	O	O
menonton	O	O
buat	O	O
kalian	O	O
yang	O	O
pengen	O	O
liat	O	O
review	O	O
tontonan	O	O
kami	O	O
di	O	O
sepanjang	O	O
tahun	O	O
2023	O	O
silakan	O	O
cek	O	O
thread	O	O
berikut	O	O
ini	O	O
atau	O	O
klik	O	O
gt	O	O
wmidreview	O	O
thanksgiving	B-MVT	B-MVT
2023	B-YEAR	B-YEAR
rating	O	O
dybing	O	O
10	O	O
film	O	O
diawali	O	O
dengan	O	O
setting	O	O
kota	O	O
di	O	O
jawa	B-LOC	B-LOC
tengah	B-LOC	I-LOC
tahun	O	O
1965	O	O
dan	O	O
benar	O	O
saja	O	O
kami	O	O
langsung	O	O
disuguhkan	O	O
adegan	O	O
panas	O	O
antar	O	O
warga	O	O
saling	O	O
kejar	O	O
kejaran	O	O
bak	O	O
bik	O	O
buk	O	O
baku	O	O
hantam	O	O
sana	O	O
sini	O	O
baru	O	O
awal	O	O
aja	O	O
udah	O	O
chaos	O	O
gini	O	O
lah	O	O
pasti	O	O
makin	O	O
kesana	O	O
makin	O	O
seru	O	O
donk	O	O
oh	O	O
tentu	O	O
tidak	O	O
yang	O	O
cukup	O	O
mengejutkan	O	O
adalah	O	O
bagaimana	O	O
akting	O	O
bene	B-CHAR	B-CHAR
dan	O	O
oki	B-CHAR	B-CHAR
yang	O	O
terbilang	O	O
ciamik	O	O
dalam	O	O
perannya	O	O
memainkan	O	O
2	O	O
karakter	O	O
utama	O	O
entah	O	O
memang	O	O
karakter	O	O
mereka	O	O
seperti	O	O
itu	O	O
di	O	O
dunia	O	O
nyata	O	O
tapi	O	O
dua	O	O
aktor	O	O
ini	O	O
benar	O	O
terasa	O	O
dan	O	O
terlihat	O	O
alami	O	O
emosinya	O	O
kerasa	O	O
ke	O	O
penonton	O	O
trolls	B-MVT	B-MVT
band	I-MVT	I-MVT
together	I-MVT	I-MVT
ini	O	O
merupakan	O	O
film	O	O
ke	O	O
3	O	O
sequel	O	O
dari	O	O
trolls	B-MVT	B-MVT
2016	B-YEAR	B-YEAR
dan	O	O
trolls	B-MVT	B-MVT
world	I-MVT	I-MVT
tour	I-MVT	I-MVT
2020	B-YEAR	B-YEAR
yang	O	O
belum	O	O
nonton	O	O
tenang	O	O
aja	O	O
bakal	O	O
tetap	O	O
bisa	O	O
catch	O	O
up	O	O
sama	O	O
filmnya	O	O
tapi	O	O
alangkah	O	O
baiknya	O	O
nonton	O	O
dulu	O	O
at	O	O
least	O	O
yg	O	O
pertama	O	O
buat	O	O
pengenalan	O	O
karakter	O	O
karakternya	O	O
pada	O	O
akhirnya	O	O
kalo	O	O
kalian	O	O
butuh	O	O
film	O	O
horor	B-GEN	B-GEN
dengan	O	O
premis	O	O
yang	O	O
cukup	O	O
menarik	O	O
ga	O	O
masalah	O	O
dengan	O	O
adegan	O	O
gore	B-GEN	B-GEN
yang	O	O
cukup	O	O
brutal	O	O
film	O	O
kereta	B-MVT	B-MVT
berdarah	I-MVT	I-MVT
ini	O	O
bisa	O	O
jadi	O	O
opsi	O	O
yang	O	O
menarik	O	O
buat	O	O
yang	O	O
ntar	O	O
nonton	O	O
dijamin	O	O
jumpscare	O	O
yang	O	O
itu	O	O
ikonik	O	O
bener	O	O
dah	O	O
atlantis	B-MVT	B-LOC
yang	O	O
digambarkan	O	O
terasa	O	O
indah	O	O
dengan	O	O
nuansa	O	O
hi	O	O
tech	O	O
dan	O	O
ramai	O	O
penduduk	O	O
dengan	O	O
mahluk	O	O
mahluk	O	O
laut	O	O
yang	O	O
unik	O	O
disatukan	O	O
dengan	O	O
legend	O	O
story	O	O
dunia	O	O
bawah	O	O
laut	O	O
yang	O	O
solid	O	O
asik	O	O
banget	O	O
liat	O	O
segala	O	O
macem	O	O
advance	O	O
tech	O	O
nya	O	O
yang	O	O
semuanya	O	O
based	O	O
on	O	O
sea	O	O
creature	O	O
gitu	O	O
kapal	O	O
selam	O	O
secara	O	O
garis	O	O
besar	O	O
the	B-MVT	B-MVT
marvels	I-MVT	I-MVT
ngasih	O	O
cerita	O	O
yang	O	O
seru	O	O
ringan	O	O
dan	O	O
fun	O	O
konsep	O	O
pindah	O	O
pindah	O	O
raga	O	O
antara	O	O
carol	B-CHAR	B-CHAR
monica	I-CHAR	B-CHAR
kamala	I-CHAR	B-CHAR
serta	O	O
celetukan	O	O
para	O	O
anggota	O	O
keluarga	O	O
kamala	B-CHAR	B-CHAR
bikin	O	O
film	O	O
ini	O	O
se	O	O
asyik	O	O
itu	O	O
ammi	B-ACT	O
muneeba	I-ACT	B-CHAR
khan	O	I-CHAR
mood	O	O
banget	O	O
goose	B-CHAR	B-CHAR
dan	O	O
rombongan	O	O
flerken	O	B-CHAR
lainnya	O	O
juga	O	O
hal	O	O
lain	O	O
yang	O	O
bikin	O	O
film	O	O
ini	O	O
gemes	O	O
susah	O	O
buat	O	O
ga	O	O
gemes	O	O
liat	O	O
kucing	O	O
sebanyak	O	O
itu	O	O
uwuwuwu	O	O
ya	O	O
meski	O	O
serba	O	O
kebetulan	O	O
yang	O	O
diliatin	O	O
berasa	O	O
cukup	O	O
dipaksain	O	O
tapi	O	O
tertutupi	O	O
lucuk	O	O
dan	O	O
gemesnya	O	O
kemunculan	O	O
gerombolan	O	O
gemes	O	O
ini	O	O
absurd	O	O
tapi	O	O
fun	O	O
rumah	B-MVT	B-MVT
masa	I-MVT	I-MVT
depan	I-MVT	I-MVT
2023	B-YEAR	B-YEAR
rating	O	O
10	O	O
berkisah	O	O
tentang	O	O
seorang	O	O
guru	O	O
bernama	O	O
ibu	B-CHAR	B-CHAR
prani	I-CHAR	I-CHAR
yang	O	O
berniat	O	O
membeli	O	O
kue	O	O
putu	O	O
saat	O	O
mengantri	O	O
bu	B-CHAR	B-CHAR
prani	I-CHAR	I-CHAR
menegur	O	O
orang	O	O
yang	O	O
menyelak	O	O
antrian	O	O
suatu	O	O
dan	O	O
lain	O	O
hal	O	O
terjadi	O	O
yang	O	O
mengakibatkan	O	O
bu	B-CHAR	B-CHAR
prani	I-CHAR	I-CHAR
mengalami	O	O
kesialan	O	O
bertubi	O	O
tubi	O	O
